Date,Weight (kg),Body Fat (%),Day of Week
2021-06-21,67.1,0.233,Mon
2021-06-22,67.1,0.233,Tue
2021-06-23,67,0.238,Wed
2021-06-24,67,0.231,Thu
2021-06-25,67,0.233,Fri
2021-06-26,66.6,0.236,Sat
2021-06-27,66.3,0.235,Sun
2021-06-28,66.2,0.239,Mon
2021-06-29,66.2,0.236,Tue
2021-06-30,66.3,0.224,Wed
2021-07-01,66.2,0.224,Thu
2021-07-02,66.1,0.239,Fri
2021-07-03,66.2,0.233,Sat
2021-07-04,66.4,0.233,Sun
2021-07-05,66.5,0.236,Mon
2021-07-06,66.4,0.237,Tue
2021-07-07,67,0.23,Wed
2021-07-08,66.3,0.239,Thu
2021-07-09,66.6,0.233,Fri
2021-07-10,66.9,0.235,Sat
2021-07-11,66.8,0.233,Sun
2021-07-12,66.8,0.236,Mon
2021-07-13,66.8,0.234,Tue
2021-07-14,66.6,0.233,Wed
2021-07-15,66,0.237,Thu
2021-07-16,66.6,0.237,Fri
2021-07-17,66.4,0.238,Sat
2021-07-18,66.7,0.232,Sun
2021-07-19,67.2,0.233,Mon
2021-07-20,66.5,0.233,Tue
2021-07-21,66.8,0.232,Wed
2021-07-22,66.6,0.232,Thu
2021-07-23,66.6,0.225,Fri
2021-07-24,66.4,0.232,Sat
2021-07-25,65.8,0.227,Sun
2021-07-26,66,0.23,Mon
2021-07-27,66,0.23,Tue
2021-07-28,65.9,0.228,Wed
2021-07-29,65.9,0.233,Thu
2021-07-30,65.7,0.232,Fri
2021-07-31,66.2,0.226,Sat
2021-08-01,65.6,0.234,Sun
2021-08-02,66,0.232,Mon
2021-08-03,65.6,0.233,Tue
2021-08-04,65.9,0.236,Wed
2021-08-05,65.6,0.228,Thu
2021-08-06,65.9,0.237,Fri
2021-08-07,65.6,0.226,Sat
2021-08-08,65.7,0.229,Sun
2021-08-09,66.1,0.226,Mon
2021-08-10,65.9,0.22,Tue
2021-08-11,65.7,0.229,Wed
2021-08-12,65.6,0.224,Thu
2021-08-13,66,0.231,Fri
2021-08-14,66.4,0.228,Sat
2021-08-15,65.9,0.225,Sun
2021-08-16,65.8,0.227,Mon
2021-08-17,65.8,0.233,Tue
2021-08-18,66,0.221,Wed
2021-08-19,65.3,0.225,Thu
2021-08-20,65.7,0.227,Fri
2021-08-21,65.4,0.228,Sat
2021-08-22,65.8,0.227,Sun
2021-08-23,65.5,0.225,Mon
2021-08-24,65.2,0.225,Tue
2021-08-25,65.4,0.229,Wed
2021-08-26,66.2,0.225,Thu
2021-08-27,66,0.223,Fri
2021-08-28,65.8,0.22,Sat
2021-08-29,65.6,0.225,Sun
2021-08-30,65.4,0.225,Mon
